"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_pneumoniae_134730-17,FALSE,SAMN12212120,VNNM00000000, ,,,
Klebsiella_pneumoniae_303987-16,FALSE,SAMN12212126,VNNS00000000, ,,,
Klebsiella_pneumoniae_304170-1-16,FALSE,SAMN12212127,VNNT00000000, ,,,
Klebsiella_pneumoniae_304170-2-16,FALSE,SAMN12212128,VNNU00000000, ,,,
Klebsiella_pneumoniae_304256-16,FALSE,SAMN12212129,VNNV00000000, ,,,
Klebsiella_pneumoniae_304312-16,FALSE,SAMN12212130,VNNW00000000, ,,,
Klebsiella_pneumoniae_304450-1-16,FALSE,SAMN12212131,VNNX00000000, ,,,
Klebsiella_pneumoniae_304450-3-16,TRUE,SAMN12212132,VNNY00000000, ,,,
Klebsiella_pneumoniae_357664-14,FALSE,SAMN12212134,VNOA00000000, ,,,
Klebsiella_pneumoniae_400161-1-16,FALSE,SAMN12212139,VNOF00000000, ,,,
Klebsiella_pneumoniae_400161-2-16,TRUE,SAMN12212140,VNOG00000000, ,,,
Klebsiella_pneumoniae_400231-13,FALSE,SAMN12212141,VNOH00000000, ,,,
Klebsiella_pneumoniae_400266-13,TRUE,SAMN12212142,VNOI00000000, ,,,
Klebsiella_pneumoniae_400354-14,FALSE,SAMN12212143,VNOJ00000000, ,,,
Klebsiella_pneumoniae_400455-13,FALSE,SAMN12212144,VNOK00000000, ,,,
Klebsiella_pneumoniae_400696-12,FALSE,SAMN12212145,VNOL00000000, ,,,
Klebsiella_pneumoniae_400751-14,FALSE,SAMN12212146,VNOM00000000, ,,,
Klebsiella_pneumoniae_400793-11,FALSE,SAMN12212147,VNON00000000, ,,,
Klebsiella_pneumoniae_400840-14,FALSE,SAMN12212148,VNOO00000000, ,,,
Klebsiella_pneumoniae_400854-13,FALSE,SAMN12212149,VNOP00000000, ,,,
Klebsiella_pneumoniae_400924-13,FALSE,SAMN12212150,VNOQ00000000, ,,,
Klebsiella_pneumoniae_400925-13,TRUE,SAMN12212151,VNOR00000000, ,,,
Klebsiella_pneumoniae_400960-13,FALSE,SAMN12212152,VNOS00000000, ,,,
Klebsiella_pneumoniae_401075-12,FALSE,SAMN12212154,VNOU00000000, ,,,
Klebsiella_pneumoniae_401084-17,TRUE,SAMN12212155,VNOV00000000, ,,,
Klebsiella_pneumoniae_401125-16,TRUE,SAMN12212156,VNOW00000000, ,,,
Klebsiella_pneumoniae_401269-14,FALSE,SAMN12212158,VNOY00000000, ,,,
Klebsiella_pneumoniae_401433-14,FALSE,SAMN12212159,VNOZ00000000, ,,,
Klebsiella_pneumoniae_401508-14,FALSE,SAMN12212160,VNPA00000000, ,,,
Klebsiella_pneumoniae_401589-13,FALSE,SAMN12212161,VNPB00000000, ,,,
Klebsiella_pneumoniae_401608-14,FALSE,SAMN12212162,VNPC00000000, ,,,
Klebsiella_pneumoniae_401629-14,FALSE,SAMN12212163,VNPD00000000, ,,,
Klebsiella_pneumoniae_401649-2-14,FALSE,SAMN12212164,VNPE00000000, ,,,
Klebsiella_pneumoniae_401649-3-14,FALSE,SAMN12212165,VNPF00000000, ,,,
Klebsiella_pneumoniae_401677-14,FALSE,SAMN12212166,VNPG00000000, ,,,
Klebsiella_pneumoniae_401717-13,TRUE,SAMN12212167,VNPH00000000, ,,,
Klebsiella_pneumoniae_401801-14,TRUE,SAMN12212168,VNPI00000000, ,,,
Klebsiella_pneumoniae_401811-12,FALSE,SAMN12212169,VNPJ00000000, ,,,
Klebsiella_pneumoniae_402006-2-12,FALSE,SAMN12212170,VNPK00000000, ,,,
Klebsiella_pneumoniae_402152-13,FALSE,SAMN12212171,VNPL00000000, ,,,
Klebsiella_pneumoniae_402592-13,FALSE,SAMN12212173,VNPN00000000, ,,,
Klebsiella_pneumoniae_402738-10,FALSE,SAMN12212175,VNPP00000000, ,,,
Klebsiella_pneumoniae_402840-10,FALSE,SAMN12212176,VNPQ00000000, ,,,
Klebsiella_pneumoniae_402854-12,FALSE,SAMN12212177,VNPR00000000, ,,,
Klebsiella_pneumoniae_402859-10,FALSE,SAMN12212178,VNPS00000000, ,,,
Klebsiella_pneumoniae_402894-13,FALSE,SAMN12212179,VNPT00000000, ,,,
Klebsiella_pneumoniae_402949-11,FALSE,SAMN12212180,VNPU00000000, ,,,
Klebsiella_pneumoniae_402962-16,FALSE,SAMN12212181,VNPV00000000, ,,,
Klebsiella_pneumoniae_403091-13,FALSE,SAMN12212182,VNPW00000000, ,,,
Klebsiella_pneumoniae_403161-15,TRUE,SAMN12212183,VNPX00000000, ,,,
Klebsiella_pneumoniae_403243-11,FALSE,SAMN12212184,VNPY00000000, ,,,
Klebsiella_pneumoniae_403420-11,TRUE,SAMN12212185,VNPZ00000000, ,,,
Klebsiella_pneumoniae_403575-12,FALSE,SAMN12212186,VNQA00000000, ,,,
Klebsiella_pneumoniae_403646-16,FALSE,SAMN12212187,VNQB00000000, ,,,
Klebsiella_pneumoniae_403669-15,FALSE,SAMN12212188,VNQC00000000, ,,,
Klebsiella_pneumoniae_403850-15,TRUE,SAMN12212191,VNQF00000000, ,,,
Klebsiella_pneumoniae_403869-16,FALSE,SAMN12212192,VNQG00000000, ,,,
Klebsiella_pneumoniae_404197-15,TRUE,SAMN12212193,VNQH00000000, ,,,
Klebsiella_pneumoniae_404261-16,FALSE,SAMN12212194,VNQI00000000, ,,,
Klebsiella_pneumoniae_404387-16,FALSE,SAMN12212195,VNQJ00000000, ,,,
Klebsiella_pneumoniae_404430-16,FALSE,SAMN12212196,VNQK00000000, ,,,
Klebsiella_pneumoniae_404507-16,FALSE,SAMN12212198,VNQM00000000, ,,,
Klebsiella_pneumoniae_404556-16,TRUE,SAMN12212199,VNQN00000000, ,,,
Klebsiella_pneumoniae_501326-11,FALSE,SAMN12212206,VNQU00000000, ,,,
Klebsiella_pneumoniae_503397-12,FALSE,SAMN12212217,VNRF00000000, ,,,
Klebsiella_pneumoniae_608017-17,FALSE,SAMN12212228,VNRQ00000000, ,,,
