replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumonia_group_Pan	241	40653.09	527.341921243
pneumonia_group_Core	242	458.94	293.290157353
pneumonia_group_Pan	242	40712.82	534.169287399
pneumonia_group_Core	243	457.65	292.411743095
pneumonia_group_Pan	243	40771.31	537.748987819
pneumonia_group_Core	244	455.62	290.881927249
pneumonia_group_Pan	244	40842.29	534.759689861
pneumonia_group_Core	245	453.73	289.530511518
pneumonia_group_Pan	245	40909.21	532.37057197
pneumonia_group_Core	246	453.06	289.245633329
pneumonia_group_Pan	246	40961.39	535.162646211
pneumonia_group_Core	247	452.53	289.001988055
pneumonia_group_Pan	247	41018.13	537.023829173
pneumonia_group_Core	248	451.52	288.226802362
pneumonia_group_Pan	248	41073.17	525.902387426
pneumonia_group_Core	249	448.79	285.297363991
pneumonia_group_Pan	249	41138.79	527.042565549
pneumonia_group_Core	250	448.24	285.142740395
pneumonia_group_Pan	250	41195.24	531.161088936
pneumonia_group_Core	251	447.19	285.262710322
pneumonia_group_Pan	251	41257.78	538.699017634
pneumonia_group_Core	252	446.63	285.085834618
pneumonia_group_Pan	252	41318.46	540.831848544
pneumonia_group_Core	253	446.1	285.124797238
pneumonia_group_Pan	253	41374.38	539.207247355
pneumonia_group_Core	254	444.43	283.884880013
pneumonia_group_Pan	254	41437.91	537.069643436
pneumonia_group_Core	255	432.38	281.356420933
pneumonia_group_Pan	255	41506.59	528.756921373
pneumonia_group_Core	256	431.04	280.364153201
pneumonia_group_Pan	256	41569.74	535.305849398
pneumonia_group_Core	257	430.3	280.026195203
pneumonia_group_Pan	257	41635.47	536.182458777
pneumonia_group_Core	258	422.97	276.700576617
pneumonia_group_Pan	258	41702.22	535.407612572
pneumonia_group_Core	259	421.91	275.84655499
pneumonia_group_Pan	259	41757.9	526.317385234
pneumonia_group_Core	260	409.92	272.846208696
pneumonia_group_Pan	260	41824.16	529.760393386
pneumonia_group_Core	261	408.58	272.537270112
pneumonia_group_Pan	261	41887.09	528.245550762
pneumonia_group_Core	262	407.52	271.947475811
pneumonia_group_Pan	262	41939.74	524.748580179
pneumonia_group_Core	263	401.17	269.823240474
pneumonia_group_Pan	263	42001.82	524.340812449
pneumonia_group_Core	264	400.0	268.661273726
pneumonia_group_Pan	264	42059.73	523.047891784
